Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
2900401.0,1445914.0,1454486.0,12.227,7.573,9.0,17.2752533635862,45.9956311064524,56.8966131554465,10.5819592628516,13.38,12319834195.331,-0.851012496888686,-91764999.2165674,2312038877.18616,2118.32777605579,39.91,57.7540817221547,75.73,80.703,110.606300354004,59.5761795043945,115.498252868652,99.2313995361328,2012,Albania
2905195.0,1449024.0,1456171.0,12.035,7.238,8.0,18.8645951156652,45.3880219685875,54.1969899100692,11.4708678630866,13.48,12890760315.146,0.79583641022279,3339483.80207139,2349571760.808,2205.70392004668,35.84,61.5027652749324,75.693,80.798,109.736122131348,49.6660118103027,108.334480285645,98.7911911010742,2011,Albania
2913021.0,1454108.0,1458913.0,11.92,7.029,8.0,20.5928392883804,42.084408429302,53.0607949450458,10.6490363006926,14.09,11926926615.8015,5.92744354775078,-119157178.669199,2141583008.42955,1943.34335385842,36.99,63.2390037485134,75.493,80.688,108.49446105957,45.0025787353516,103.269981384277,None,2010,Albania
2927519.0,1462978.0,1464541.0,11.841,6.81,8.0,19.9406955859942,44.0516349157035,57.1437521536196,10.2778560912195,13.67,12044205549.6571,1.48174747677041,-191468624.563215,2022750081.80832,1835.68407241763,37.09,63.4217264005157,75.316,80.544,108.076110839844,34.2157402038574,105.836242675781,95.6800003051758,2009,Albania
2947314.0,1474838.0,1472476.0,11.868,6.57,8.0,17.7779146394038,44.6560325183224,56.789435017747,8.8681767085336,13.06,12881352893.6855,7.15559823551911,65020510.7351124,2168840322.55519,1617.7441562046,35.79,63.8471757910902,75.163,80.429,110.683570861816,33.4154510498047,104.580177307129,98.8312072753906,2008,Albania
2970017.0,1488396.0,1481621.0,12.07,6.318,8.0,16.4658049720864,45.4934620699764,57.484805265549,8.07168705062802,15.97,10677324852.8822,4.25067030191056,297972105.819472,1831547685.93859,1213.12436932179,32.0,65.1223924710814,75.1,80.247,109.893409729004,32.1192588806152,106.881889343262,None,2007,Albania
2992547.0,1501918.0,1490629.0,12.539,6.477,8.0,15.3300119708882,46.357760432955,58.3647653017803,7.36833662691349,15.63,8896075004.63516,7.76904627674415,262219209.844326,1575348420.47282,1218.36014605619,31.62,64.4559899021893,74.243,79.686,109.894897460938,27.7050094604492,None,None,2006,Albania
3011487.0,1513578.0,1497909.0,13.235,6.306,8.0,15.1280883694977,46.9627184183368,59.0392275249526,7.21475062865332,15.97,8052077248.14638,4.33653298162804,162031329.168343,1517438816.16642,1722.07284972507,36.77,66.4866805505628,74.033,79.493,111.322402954102,23.5391502380371,None,None,2005,Albania
3026939.0,1523393.0,1503547.0,13.978,6.181,8.0,15.1059679810039,47.6007875699632,59.6357965251075,7.24173555984988,16.31,7184685781.51876,6.44139613516823,169288871.400381,1475553858.65087,1797.52548696885,35.84,65.5782732614305,73.786,79.237,106.634773254395,19.8219509124756,98.9352416992188,None,2004,Albania
3039616.0,1531532.0,1508084.0,14.668,6.057,8.0,14.0832218643226,47.9953407020216,60.1689617486339,6.21398907103825,16.989,5611496257.14231,5.5690040884885,150569936.088666,1233309073.68723,1469.26453867857,33.67,64.5283712223687,73.499,79.057,107.269111633301,16.3815498352051,100.488182067871,None,2003,Albania
3051010.0,1538490.0,1512520.0,15.209,5.953,8.0,14.2514014849738,48.1433279856814,60.3824993450354,6.45292987512008,17.895,4348068242.19512,3.64419148530146,109118141.843143,957666990.964761,1578.16591882688,35.82,63.233130384996,73.22,78.823,107.709121704102,15.9305896759033,None,None,2002,Albania
3060173.0,1543533.0,1516640.0,16.12,5.872,8.0,13.6696782330925,48.9888174460637,61.2281447836838,6.18719639443733,18.575,3922100793.5403,11.0570284831704,125993317.555339,890950856.188222,1351.23079642883,39.04,60.9558278415635,72.921,78.618,108.75528717041,15.4916801452637,100.991310119629,99.4351501464844,2001,Albania
3089027.0,1557540.0,1531486.0,17.076,5.798,8.0,13.0612323042251,49.9195895236636,61.7625624690493,6.0757435195457,19.028,3480355258.04122,11.9374112028846,104651963.77979,853223432.031554,1449.64741324695,41.36,58.7150980055366,72.646,78.419,109.125343322754,15.232159614563,99.1669082641602,None,2000,Albania
3108778.0,1565927.0,1542851.0,17.982,5.732,8.0,12.5712830721511,50.6929932177496,62.4149786979595,5.95533826057518,20.84,3212121650.97755,15.6640557837745,75268211.4409848,832541636.495293,1414.70378393053,42.63,58.2387938547152,72.401,78.209,109.397300720215,14.5365200042725,None,None,1999,Albania
3128530.0,1573432.0,1555099.0,18.803,5.664,8.0,12.2140082605771,51.31901596418,62.6419244045416,5.9212281894793,20.047,2545964540.88383,6.13874162890144,76522625.0330775,732872453.029902,734.849913537668,49.94,45.2948182996352,72.19,78.021,109.649749755859,13.4036703109741,None,None,1998,Albania
3148281.0,1580008.0,1568273.0,19.81,5.923,None,12.1118990382547,51.7549399360902,62.8839990500876,5.8973729238426,16.876,2258513974.0968,None,50333128.8343558,712413087.93456,694.664802792381,55.93,41.4493402366839,70.773,77.316,109.209136962891,12.585599899292,None,None,1997,Albania
3168033.0,1585863.0,1582170.0,20.987,5.571,None,12.2237819407029,52.2033943922467,63.4131068038861,5.92759167080139,13.931,3199640815.4163,None,71682273.9894998,1165016858.50007,904.346640328557,51.6,45.453763744009,71.669,77.746,107.015243530273,10.8271703720093,90.5327835083008,None,1996,Albania
3187784.0,1591252.0,1596532.0,21.809,5.549,None,12.4797001873829,52.413214895053,62.9168618573034,6.08130251298311,14.611,2392764853.42107,None,43600000.0,None,663.783995402449,50.58,49.5416411855723,71.428,77.511,104.104759216309,9.96251010894775,None,None,1995,Albania
9041851.0,4590312.0,4451539.0,None,None,13.0,26.3641781755636,3.53855825106199,3.18732018830671,12.8454650322457,4.99,470941926750.741,None,-305489409.92218,6526321587.25683,None,None,None,None,None,None,None,None,None,2022,Austria
8955797.0,4548093.0,4407703.0,9.6,10.3,13.0,25.6264283041388,3.7348243579283,3.39808971990129,12.3093021974996,6.46,479295362747.047,3.18176161918706,7460607601.93786,5840832919.88363,None,None,None,78.8,83.8,101.644119262695,93.940071105957,99.8165130615234,None,2021,Austria
8916864.0,4529542.0,4387322.0,9.4,10.3,13.0,24.8648169044846,3.86384318578917,3.38177893243973,11.5082433787957,5.2,435049316955.737,-6.98291271095279,4497854057.43192,4646682210.42803,None,35.77,None,78.9,83.6,101.560852050781,88.7071990966797,97.6123962402344,None,2020,Austria
8879920.0,4511982.0,4367938.0,9.6,9.4,13.0,25.3558864923484,3.65613239350842,3.19049051600084,11.838424232437,4.56,444596155845.254,1.05475240737904,-1273066412.54902,4679000440.15686,None,33.98,None,79.7,84.2,101.776290893555,86.3234329223633,99.4589767456055,None,2019,Austria
8840521.0,4492714.0,4347806.0,9.7,9.5,13.0,25.4354427285469,3.69411172994081,3.2868981400462,11.9211755503624,4.93,454991174096.102,1.59766656817295,-4455505174.58823,5144143368.34509,None,34.08,None,79.4,84.1,101.370300292969,85.8698883056641,97.7539825439453,None,2018,Austria
8797566.0,4472047.0,4325519.0,10.0,9.5,13.0,24.9222981472398,3.92985047040033,3.68416276877865,11.4559367907942,5.56,417261151844.977,-0.342005970760013,-3912424818.47059,5051098257.10589,None,33.97,None,79.4,84.0,101.104568481445,83.8392562866211,98.6491775512695,None,2017,Austria
8736668.0,4444108.0,4292559.0,10.0,9.2,10.0,25.5626221896241,4.3481641092631,3.93292089034425,12.0211761282798,6.06,395837353031.499,2.64625346789205,-29886384.0466927,4395047361.78211,None,34.63,None,79.3,84.1,100.428077697754,82.8496932983398,97.1509704589844,None,2016,Austria
8642699.0,4406154.0,4236544.0,9.8,9.6,10.0,25.7642448950257,4.53099865809131,4.2148648181744,12.1923776608609,5.8,381971148530.543,-0.585272378242138,-3760915845.35156,4315472578.34375,None,34.82,65.6618219894727,78.8,83.7,101.104393005371,82.2563095092773,99.3965225219727,None,2015,Austria
8546356.0,4368440.0,4177916.0,9.6,9.2,10.0,25.7513261788469,4.83689815557951,4.57369377750923,12.7627676975545,5.67,442584815286.034,0.0917683248763126,583211844.313723,5314295407.42743,8355.84195182134,35.67,64.8131564661468,79.1,84.0,100.970321655273,81.0195693969727,97.3396606445312,None,2014,Austria
8479823.0,4340305.0,4139517.0,9.4,9.4,10.0,25.9074742637615,4.57570366944431,4.19075674233615,13.0738088013376,5.37,430190979705.962,-0.825453561755111,1160642354.47059,5397697491.43923,8509.61158033605,34.58,66.2538035085394,78.6,83.8,100.746078491211,80.9616012573242,98.8614273071289,None,2013,Austria
8429991.0,4319072.0,4110918.0,9.4,9.4,10.0,26.0800701671835,4.67525425620693,4.24906508177718,12.7269711107197,4.91,409401816050.531,-0.854448243102695,413444994.609375,5520993880.78125,8548.88219928111,34.37,67.3025067863473,78.4,83.6,100.335113525391,79.5471267700195,96.4984817504883,None,2012,Austria
8391643.0,4303100.0,4088543.0,9.3,9.1,10.0,26.0255499958883,4.93754895570462,4.66277268419339,12.5228900221279,4.64,431685217367.511,1.19300564029497,1455567607.97666,6051859531.32297,8425.16775320399,31.64,69.1541833994512,78.3,83.8,100.558326721191,77.2625122070312,100.62183380127,None,2011,Austria
8363404.0,4290783.0,4072621.0,9.4,9.2,9.0,24.7204527689601,5.42974151933372,5.16783509738321,11.5901406154067,4.88,392275107258.667,1.66780346943953,3281413893.33334,4971410985.66668,8382.71115445338,31.15,70.2670570317288,77.8,83.5,100.835540771484,75.0402526855469,None,None,2010,Austria
8343323.0,4281722.0,4061602.0,9.2,9.3,9.0,24.7370959746954,5.56757113208959,5.42330446875412,11.6611910706535,5.37,401758735822.211,-5.3063741293616,-173929368.007812,4607440565.47656,7944.79609623168,31.31,69.8365077164139,77.6,83.2,101.361312866211,67.9915771484375,None,None,2009,Austria
8321496.0,4271832.0,4049665.0,9.3,9.0,9.0,26.0115391892904,5.45125434111613,5.41536487480841,12.4988084387173,4.2,432051935642.945,1.23764816585854,3603939200.625,5799100567.95312,8233.01483290985,29.68,71.5548631026855,77.7,83.3,102.266273498535,66.1983871459961,None,None,2008,Austria
8295487.0,4259257.0,4036230.0,9.2,9.0,9.0,27.324158994563,5.52684899810171,5.6218323501142,13.0431011721231,4.91,389185571506.052,3.06577557189027,-392230814.823531,5512391588.45492,8207.47473897554,28.99,72.6297785377108,77.4,83.1,102.771659851074,63.8021202087402,None,None,2007,Austria
8268641.0,4246451.0,4022191.0,9.4,9.0,9.0,28.161403629699,5.24447601663644,5.29049205578907,13.4816823193876,5.32,336280064332.411,3.61633285854801,785377064.117646,4382366349.81176,8244.40195190479,26.64,74.6983342403424,77.1,82.8,102.310897827148,None,None,None,2006,Austria
8227829.0,4228220.0,3999610.0,9.5,9.1,9.0,27.5731585516464,5.27458162771133,5.29243804142128,12.966179490694,5.68,316092273276.015,1.14579912072168,-669196157.509727,3980864935.3463,7977.68159741774,24.41,77.0304294299819,76.6,82.2,102.08748626709,None,None,None,2005,Austria
8171966.0,4203243.0,3968722.0,9.7,9.1,9.0,27.7174071626114,4.9502387474679,5.10772195790089,13.304866340484,5.97,301457562038.541,2.36532599408366,-415338983.513515,4450943708.28959,7808.15779213961,23.17,77.699293658191,76.4,82.1,102.736419677734,None,100.962127685547,None,2004,Austria
8121423.0,4180186.0,3941237.0,9.5,9.5,9.0,28.9193545432899,5.5038345905976,5.78239050429594,13.1167345567351,4.78,262273631180.054,0.426576838954489,-659353392.588234,3912943963.36078,7695.08003708217,22.56,78.1444293048315,75.9,81.5,102.384437561035,None,None,None,2003,Austria
8081957.0,4163296.0,3918661.0,9.7,9.4,9.0,28.8522342298336,5.75868767194551,6.08572082779589,13.0250737080148,4.85,214394866675.24,2.1229167043725,-1244280465.37255,3350508115.95295,7427.65644509121,24.68,77.3108741675121,75.8,81.7,102.810722351074,None,99.5010681152344,None,2002,Austria
8042293.0,4147958.0,3894335.0,9.4,9.3,9.0,29.3652869906864,5.80478780573794,6.28497841072646,13.87494886751,4.01,197508773215.323,-0.149900778290615,-2700681277.40158,3299785780.97638,7333.23195262844,25.53,76.8963890335462,75.6,81.7,102.47102355957,None,None,None,2001,Austria
8011566.0,4136746.0,3874820.0,9.8,9.6,9.0,30.0245893328607,6.05078317146185,6.38351595007783,14.2341407108786,4.69,197289625479.906,3.44274377584455,-1718104063.68628,3249952420.73726,7076.26948339438,26.43,76.5352922346138,75.2,81.2,101.86939239502,None,None,None,2000,Austria
7992324.0,4130055.0,3862269.0,9.8,9.8,9.0,29.7575446249674,6.23294542266306,6.95968516936497,14.0620180045149,4.7,217259147049.954,1.71851963768796,-3442351348.99615,3741674664.38225,6972.18981612858,26.49,76.6073284458913,74.9,81.0,101.540962219238,None,99.1727600097656,None,1999,Austria
7976789.0,4124523.0,3852266.0,10.2,9.8,9.0,29.56381665884,6.48500551508731,7.23455456884327,14.2863192849834,5.52,218259904401.956,3.24806003696168,-1326700755.89151,3914150733.6594,6706.7086768874,24.46,78.5155637093458,74.5,81.0,101.345100402832,53.5619506835938,99.5908584594727,None,1998,Austria
7968041.0,4121782.0,3846259.0,10.5,10.0,None,29.6424057935976,6.89245249843401,7.73346591603684,14.6515860142892,5.15,212790348404.555,1.30625779382912,-984665689.480212,4054684857.36836,6620.44786165131,24.92,78.4161240499479,74.1,80.7,101.887680053711,50.9492988586426,None,None,1997,Austria
7959017.0,4118420.0,3840597.0,11.2,10.2,None,30.2975940198327,7.42828354702951,8.58374371047292,15.6251161519024,5.28,237250948791.266,2.05679052556538,-133480634.260463,4703431245.12607,6607.2229774104,24.08,78.1981869435088,73.7,80.2,102.642890930176,49.1923789978027,None,None,1996,Austria
7948278.0,4114132.0,3834145.0,11.2,10.2,None,32.1010601549952,7.33562291546529,8.19340432413604,17.5566640957381,4.35,241038283062.645,1.99602522131943,-926982393.885628,5203043537.60065,6344.39308740837,25.67,77.9827986809595,73.4,80.1,102.925872802734,46.1729011535645,None,None,1995,Austria
9228071.0,4979107.0,4248965.0,None,None,11.0,30.357774177398,10.6309823067528,7.44657282318946,18.337712642665,3.57,72793457588.4367,None,-2715937238.49372,5611259033.85318,None,None,None,None,None,94.7119674682617,70.8675689697266,93.2138977050781,None,2022,Belarus
9302585.0,5014609.0,4287977.0,9.283,16.544,9.0,30.4510337222303,10.9072064308671,7.85451561029119,18.6081703408436,3.9,69673747131.87,4.01287441911613,-2557808699.41998,4672910081.04622,None,None,None,67.298,77.697,94.5295486450195,73.9591369628906,93.5405120849609,None,2021,Belarus
9379952.0,5052036.0,4327916.0,9.47,16.553,9.0,30.5816934800267,10.8923500154286,7.46275851134434,18.9650941464515,4.05,61371755326.2351,-1.22356603095754,-2496637324.12408,4343379482.08192,None,8.39,None,67.306,77.866,94.4190673828125,76.8908920288086,95.6100616455078,None,2020,Belarus
9419758.0,5069468.0,4350290.0,9.3,12.8,9.0,30.3871323882364,11.0571138276425,7.59657580863438,18.9393281421977,4.16,64410122847.3508,3.06694867298259,-1910291841.9358,4376649011.87169,None,7.81,None,69.3,79.4,95.6502075195312,80.1720199584961,99.1110763549805,99.8728332519531,2019,Belarus
9438785.0,5077117.0,4361667.0,9.9,12.7,9.0,30.6288452010448,11.3147521032859,7.74908335861063,19.200511403007,4.76,60031173807.7196,4.45467674589743,-2169986081.71935,3956109320.34032,None,7.21,None,69.2,79.4,96.7058029174805,84.5396423339844,96.756591796875,None,2018,Belarus
9458989.0,5086699.0,4372291.0,10.8,12.6,9.0,30.7723448992567,10.6964687410238,7.30963381330439,19.8275906456142,5.65,54725302249.8088,4.20002840569605,-2055536752.81084,4140571389.53663,None,7.28,None,69.3,79.2,97.40283203125,91.3261489868164,95.6138229370117,None,2017,Belarus
9469379.0,5091613.0,4377765.0,12.4,12.6,9.0,31.5459915799386,9.73827490783296,6.69825893130858,19.966733187107,5.84,47723545321.259,-5.74406738721387,-2250242892.53469,3290672373.78258,None,6.72,None,68.9,79.0,97.3474578857422,94.7553405761719,94.376838684082,None,2016,Belarus
9461076.0,5087057.0,4374019.0,12.5,12.6,9.0,31.6300530990777,10.2484213268419,7.15479368361874,20.1004493180143,5.878,56454889146.6088,-4.70185841100795,-2392943860.94679,3547032241.00982,None,6.82,None,68.6,78.9,96.0522003173828,98.0328598022461,94.0976409912109,None,2015,Belarus
9448515.0,5080019.0,4368497.0,12.5,12.8,9.0,32.1544271593095,10.704442414869,7.64297492282985,20.506336358141,5.908,78812805039.0743,3.09980956528253,-2364022261.12812,5756007863.77285,3690.1036829597,6.69,92.4403750165292,67.8,78.4,95.1305313110352,99.8547286987305,94.2574462890625,None,2014,Belarus
9443211.0,5076616.0,4366594.0,12.5,13.2,9.0,32.3847882608757,11.1919482998656,8.09879800644972,20.8118634723975,5.944,75527558966.4473,-0.232493886202064,-2652219525.79096,5142763835.78921,3657.12467930665,6.97,90.6720403103935,67.3,77.9,94.9301605224609,101.424392700195,94.8986587524414,None,2013,Belarus
